type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,2020,1,1,1,1,2,71438,696,2,05-31-18,90000,for_sale
single_family,1968,4,3,2,1,2,56628,3700,2,05-31-18,799000,for_sale
single_family,1985,4,3,3,1,1,10019,3528,2,05-31-18,389900,for_sale
single_family,1936,4,2,2,1,2,12632,2097,2,04-16-18,300000,for_sale
land,2003,4,0,2,1,2,872071,2400,2,05-31-18,70000,for_sale
mobile,1994,3,2,2,1,2,121968,1880,1,05-31-18,550000,for_sale
single_family,2001,4,4,3,1,2,4792,2284,3,05-31-18,449000,for_sale
single_family,2004,4,5,5,1,6,104980,4407,2,05-07-12,1290000,for_sale
mobile,1979,3,2,2,1,2,13939,885,1,05-31-18,75000,for_sale
single_family,2022,6,4,4,1,2,14375,4296,2,05-31-18,155000,for_sale
mobile,1970,2,1,1,1,2,13939,768,1,05-31-18,36000,for_sale
mobile,1996,3,2,2,1,2,43560,1642,1,11-29-18,350000,for_sale
single_family,1998,2,1,2,1,2,920858,535,2,05-31-18,410000,for_sale
mobile,1970,2,1,1,1,2,4356,750,1,05-31-18,44900,for_sale
single_family,2010,5,5,4,1,4,91040,2400,2,05-31-18,1750000,for_sale
mobile,1981,2,1,1,1,2,261360,700,1,11-04-11,319000,for_sale
single_family,1982,5,6,3,1,4,19602,6205,4,01-03-22,2100000,for_sale
single_family,2017,6,6,5,1,3,47480,6620,2,07-22-21,2100000,for_sale
single_family,2003,3,3,2,1,3,13939,2406,2,05-31-18,557990,ready_to_build
single_family,2003,3,3,2,1,3,13939,2188,2,05-31-18,539990,ready_to_build
single_family,2022,5,5,4,1,3,113256,5015,2,11-22-19,5950000,for_sale
single_family,2003,3,3,2,1,3,13939,1732,2,05-31-18,504990,ready_to_build
single_family,2006,5,5,5,1,5,16988,4899,3,11-16-16,1133000,for_sale
single_family,1965,5,4,4,1,2,11326,3942,2,05-31-18,525000,for_sale
single_family,2003,5,3,3,1,3,13939,2781,2,05-31-18,528995,ready_to_build
condos,2003,3,3,2,1,2,13939,1606,2,05-31-18,409990,for_sale
single_family,2002,3,2,2,1,5,46609,2542,2,05-31-18,754900,for_sale
single_family,2022,5,8,2,3,2,3485,4929,4,11-20-98,1100000,for_sale
single_family,2003,4,3,2,1,3,13939,2371,2,05-31-18,528995,ready_to_build
single_family,2003,3,3,2,1,3,13939,2126,2,05-31-18,528995,ready_to_build
single_family,1976,4,3,3,1,2,11326,3048,2,05-31-18,469000,for_sale
single_family,2003,4,3,2,1,3,13939,2562,2,05-31-18,528995,ready_to_build
single_family,2020,5,4,3,1,4,65776,6560,2,12-11-20,2549000,for_sale
single_family,2013,3,3,3,1,4,537530,3913,2,05-31-18,1050000,for_sale
single_family,1972,4,4,2,1,2,33106,4571,2,06-20-02,579900,for_sale
single_family,1994,8,4,3,1,3,12197,4538,3,03-02-12,780000,for_sale
single_family,1984,4,4,2,1,3,18731,4928,3,03-30-05,2999900,for_sale
single_family,1997,6,4,2,1,4,32670,2600,3,04-13-99,655000,for_sale
single_family,1967,4,3,2,1,4,31799,2888,2,05-31-18,850000,for_sale
